cell_id,lon_idx,lat_idx,center_lon,center_lat,distribution,n_regimes,wind_speed_1,probability_1,std_1,wind_speed_2,probability_2,std_2
2020,20,40,-93.545364,27.020798,unimodal,1,17.43817766181128,1.0,0.5745377856921692,,,
2021,21,40,-93.360916,27.020798,unimodal,1,17.35284100783359,1.0,0.6185108687136693,,,
2022,22,40,-93.17645,27.020798,unimodal,1,17.124614863050674,1.0,0.6183152223010604,,,
2023,23,40,-92.992004,27.020798,unimodal,1,15.97533801637072,1.0,0.2810026835696845,,,
2024,24,40,-92.80754,27.020798,unimodal,1,15.874896336562228,1.0,0.2571350994807436,,,
2025,25,40,-92.623085,27.020798,unimodal,1,15.16611508312941,1.0,0.4780014676131903,,,
2026,26,40,-92.43863,27.020798,unimodal,1,14.259487625626312,1.0,0.1968101548312408,,,
2027,27,40,-92.254166,27.020798,unimodal,1,14.019252444973777,1.0,0.3727552655583091,,,
2028,28,40,-92.06972,27.020798,unimodal,1,13.1684107933659,1.0,0.4530859398266033,,,
2029,29,40,-91.885254,27.020798,unimodal,1,13.17252368012504,1.0,0.4890168123313271,,,
2030,30,40,-91.7008,27.020798,unimodal,1,12.808788601529889,1.0,0.2222139576954206,,,
2031,31,40,-91.51634,27.020798,unimodal,1,12.288921083193616,1.0,0.1401477543702326,,,
2032,32,40,-91.33188,27.020798,unimodal,1,12.050781788932676,1.0,0.2143669474064583,,,
2033,33,40,-91.14743,27.020798,unimodal,1,11.667094236525024,1.0,0.2552586549273941,,,
2034,34,40,-90.96297,27.020798,unimodal,1,10.76126216665276,1.0,0.2557206482317523,,,
2035,35,40,-90.77851,27.020798,unimodal,1,10.431758539031003,1.0,0.2251254615443594,,,
2036,36,40,-90.594055,27.020798,unimodal,1,10.024914885527046,1.0,0.191299191314066,,,
2037,37,40,-90.40959,27.020798,bimodal,2,9.602575108038229,0.6333333333333333,0.056417300530998186,9.951154730429387,0.36666666666666664,0.21351796407469367
2038,38,40,-90.22514,27.020798,unimodal,1,9.90502110774281,1.0,0.1642366725209955,,,
2039,39,40,-90.04068,27.020798,unimodal,1,9.068893658388872,1.0,0.3158412070307895,,,
2040,40,40,-89.85623,27.020798,unimodal,1,8.452229279266556,1.0,0.2928994829568469,,,
2041,41,40,-89.67177,27.020798,unimodal,1,7.559325637268198,1.0,0.2865804778864372,,,
2042,42,40,-89.487305,27.020798,unimodal,1,6.808566532621991,1.0,0.103722968835461,,,
2043,43,40,-89.30286,27.020798,unimodal,1,6.131608572942402,1.0,0.4418583319462601,,,
2044,44,40,-89.11839,27.020798,unimodal,1,6.337744170537324,1.0,0.2349403019990674,,,
2045,45,40,-88.933945,27.020798,unimodal,1,6.279991678542002,1.0,0.1333324476852365,,,
2046,46,40,-88.74948,27.020798,unimodal,1,6.360000487887152,1.0,0.0776593256179473,,,
2047,47,40,-88.565025,27.020798,unimodal,1,6.207660725121944,1.0,0.2414727916650463,,,
2048,48,40,-88.38057,27.020798,unimodal,1,5.941620382415315,1.0,0.1402824758404125,,,
2049,49,40,-88.196106,27.020798,unimodal,1,5.788039210899556,1.0,0.1906921434918281,,,
2050,0,41,-97.23451,27.188541,unimodal,1,9.085041477180091,1.0,0.4277398576509675,,,
2051,1,41,-97.050064,27.188541,unimodal,1,8.700341993057615,1.0,0.5918314174715439,,,
2052,2,41,-96.8656,27.188541,unimodal,1,9.951505856494258,1.0,0.3005232212623642,,,
2053,3,41,-96.68114,27.188541,unimodal,1,10.628281958104171,1.0,0.3098594281176774,,,
2054,4,41,-96.49669,27.188541,unimodal,1,11.37424599100807,1.0,0.2820491440059857,,,
2055,5,41,-96.312225,27.188541,unimodal,1,12.71377920007648,1.0,0.3756566601598522,,,
2056,6,41,-96.12778,27.188541,unimodal,1,14.176337101435758,1.0,0.729265919065471,,,
2057,7,41,-95.94331,27.188541,unimodal,1,15.7006756470877,1.0,0.241756775707232,,,
2058,8,41,-95.75886,27.188541,unimodal,1,15.912874029300973,1.0,0.208097487735694,,,
2059,9,41,-95.5744,27.188541,unimodal,1,15.776710205618151,1.0,0.3381090480739423,,,
2060,10,41,-95.38994,27.188541,unimodal,1,16.26401927372295,1.0,0.6493030576441263,,,
2061,11,41,-95.20549,27.188541,unimodal,1,17.56389725673563,1.0,1.8808150760744091,,,
2062,12,41,-95.02103,27.188541,unimodal,1,19.21518131235696,1.0,1.2950801580674425,,,
2063,13,41,-94.83657,27.188541,unimodal,1,16.442648122891377,1.0,0.6206999619414098,,,
2064,14,41,-94.652115,27.188541,unimodal,1,17.569823195751383,1.0,0.6321458389791461,,,
2065,15,41,-94.46765,27.188541,bimodal,2,18.065319447866607,0.6111111111111112,0.19071664643215794,18.691815820632968,0.3888888888888889,0.41659416354386314
2066,16,41,-94.2832,27.188541,unimodal,1,19.056464154070877,1.0,1.3860126935622334,,,
2067,17,41,-94.09874,27.188541,unimodal,1,20.454876411962175,1.0,2.600960211606696,,,
2068,18,41,-93.91429,27.188541,unimodal,1,19.071379644098062,1.0,1.1943618090366586,,,
2069,19,41,-93.72983,27.188541,unimodal,1,15.858083196781427,1.0,1.1808133690929523,,,
2070,20,41,-93.545364,27.188541,unimodal,1,15.14904988803402,1.0,1.169318420885457,,,
2071,21,41,-93.360916,27.188541,unimodal,1,16.077166704447126,1.0,0.8823850947502971,,,
2072,22,41,-93.17645,27.188541,unimodal,1,16.861310105923504,1.0,0.7475820301523252,,,
2073,23,41,-92.992004,27.188541,unimodal,1,16.149413179997097,1.0,0.3933962939627967,,,
2074,24,41,-92.80754,27.188541,unimodal,1,15.146784593311862,1.0,0.2472322547275917,,,
2075,25,41,-92.623085,27.188541,unimodal,1,14.662050458469018,1.0,0.2051524417399492,,,
2076,26,41,-92.43863,27.188541,unimodal,1,14.339308601778692,1.0,0.172381045424839,,,
2077,27,41,-92.254166,27.188541,unimodal,1,14.044586944272218,1.0,0.2274528311862015,,,
2078,28,41,-92.06972,27.188541,unimodal,1,13.16086102057387,1.0,0.3303435577372296,,,
2079,29,41,-91.885254,27.188541,unimodal,1,12.269831070741503,1.0,0.176058318686777,,,
2080,30,41,-91.7008,27.188541,unimodal,1,12.227226029418173,1.0,0.130710466695567,,,
2081,31,41,-91.51634,27.188541,unimodal,1,11.910742519916422,1.0,0.1718208005641465,,,
2082,32,41,-91.33188,27.188541,unimodal,1,11.664277587196894,1.0,0.2299991039190546,,,
2083,33,41,-91.14743,27.188541,unimodal,1,10.91524063387759,1.0,0.2479741934988132,,,
2084,34,41,-90.96297,27.188541,unimodal,1,10.349096735254887,1.0,0.234693895743546,,,
2085,35,41,-90.77851,27.188541,unimodal,1,10.061682549523372,1.0,0.1408676120556193,,,
2086,36,41,-90.594055,27.188541,unimodal,1,9.694993314503916,1.0,0.2006221945705178,,,
2087,37,41,-90.40959,27.188541,unimodal,1,9.551083584638867,1.0,0.3150415537405658,,,
